src/elspeth/cli.py:1287	_orchestrator_context()	HAS=aggregation,gate,sink,source,transform	MISS=coalesce,collector,queue,row_union	def _orchestrator_context( config: ElspethSettings, graph: ExecutionGraph, plugins: PluginBundle, *, db: LandscapeDB, formatter_prefix: str = "Run", output_format: Literal["console", "json", "none"] = "console", checkpoi
src/elspeth/cli.py:2430	resume()	HAS=sink,source	MISS=aggregation,coalesce,collector,gate,queue,row_union,transform	def resume( run_id: str = typer.Argument(..., help="Run ID to resume"), database: str | None = typer.Option( None, "--database", "-d", help="Path to Landscape database file (SQLite).", ), settings_file: str | None = type
src/elspeth/cli.py:3171	join()	HAS=aggregation,gate,source,transform	MISS=coalesce,collector,queue,row_union,sink	def join( run_id: str = typer.Argument(..., help="Run ID to join as a follower worker."), database: str | None = typer.Option( None, "--database", "-d", help="Path to Landscape database file (SQLite).", ), settings_file:
src/elspeth/cli_plugins.py:15	<module>	HAS=sink,source,transform	MISS=aggregation,coalesce,collector,gate,queue,row_union	VALID_PLUGIN_TYPES: tuple[PluginKind, ...] = ("source", "transform", "sink")
src/elspeth/cli_plugins.py:172	_classes_for_kind()	HAS=sink,source,transform	MISS=aggregation,coalesce,collector,gate,queue,row_union	def _classes_for_kind(manager: PluginManager, plugin_type: PluginKind) -> list[PluginClass]: if plugin_type == "source": return list(cast(Sequence[PluginClass], manager.get_sources())) if plugin_type == "transform": retu
src/elspeth/cli_plugins.py:182	_list_for_kind()	HAS=sink,source,transform	MISS=aggregation,coalesce,collector,gate,queue,row_union	def _list_for_kind(service: CatalogServiceImpl, plugin_type: PluginKind) -> list[PluginSummary]: if plugin_type == "source": return service.list_sources() if plugin_type == "transform": return service.list_transforms() i
src/elspeth/contracts/barrier_scalars.py:1	<module>	HAS=aggregation,coalesce	MISS=collector,gate,queue,row_union,sink,source,transform	"""Barrier scalar state for post-F1 checkpoint rows. This module defines the ONLY barrier metadata the checkpoint row carries after F1 durability unification. The two trigger latches (count_fire_offset, condition_fire_of
src/elspeth/contracts/barrier_scalars.py:256	BarrierScalars.__post_init__()	HAS=aggregation,coalesce	MISS=collector,gate,queue,row_union,sink,source,transform	def __post_init__(self) -> None: aggregation = self.aggregation coalesce = self.coalesce if not isinstance(aggregation, Mapping): raise TypeError(f"BarrierScalars.aggregation must be a Mapping, got {type(aggregation).__n
src/elspeth/contracts/barrier_scalars.py:292	BarrierScalars.to_dict()	HAS=aggregation,coalesce	MISS=collector,gate,queue,row_union,sink,source,transform	def to_dict(self) -> dict[str, Any]: """Serialize to checkpoint column format. The ``coalesce`` dict serializes as a list of ``[[name, fork_group_id], scalars]`` pairs because JSON object keys must be strings and the coa
src/elspeth/contracts/barrier_scalars.py:306	BarrierScalars.from_dict()	HAS=aggregation,coalesce	MISS=collector,gate,queue,row_union,sink,source,transform	def from_dict(cls, data: dict[str, Any]) -> BarrierScalars: """Reconstruct from checkpoint column value (Tier 1 — crash on corruption). Args: data: Top-level barrier scalars dict from the checkpoint column. Raises: Audit
src/elspeth/core/blobs_inline.py:38	<module>	HAS=aggregation,coalesce,gate,transform	MISS=collector,queue,row_union,sink,source	_NODE_COLLECTION_KEYS: Final = ("transforms", "gates", "aggregations", "coalesce")
src/elspeth/core/config.py:2502	_lower_llm_profile_nodes()	HAS=source,transform	MISS=aggregation,coalesce,collector,gate,queue,row_union,sink	def _lower_llm_profile_nodes(raw_config: dict[str, Any], *, materialize: bool) -> dict[str, Any]: """Rewrite ``llm`` source and transform components that select an operator profile. Mirrors the web plugin-policy resolver
